onset	duration	trial_id	trial_type	image_id	rating_value	red	green	blue	gram	protein	fat	carb
10.029	4.004	1	valuation	426	3	223.031248148148	199.428640740741	181.220877777778	900	73.8	10.8	439.2
14.033	0.705	1	rating	426	3	223.031248148148	199.428640740741	181.220877777778	900	73.8	10.8	439.2
14.738	0	1	response	426	3	223.031248148148	199.428640740741	181.220877777778	900	73.8	10.8	439.2
14.738	0.5	1	feedback	426	3	223.031248148148	199.428640740741	181.220877777778	900	73.8	10.8	439.2
22.782	4.004	2	valuation	28	1	230.415522222222	220.993285185185	214.040340740741	150	6.03	2.82	45.87
26.786	1.131	2	rating	28	1	230.415522222222	220.993285185185	214.040340740741	150	6.03	2.82	45.87
27.917	0	2	response	28	1	230.415522222222	220.993285185185	214.040340740741	150	6.03	2.82	45.87
27.917	0.5	2	feedback	28	1	230.415522222222	220.993285185185	214.040340740741	150	6.03	2.82	45.87
33.864	4.017	3	valuation	266	4	236.431551851852	237.5085	229.194196296296	105	0.945	0.315	8.925
37.881	1.012	3	rating	266	4	236.431551851852	237.5085	229.194196296296	105	0.945	0.315	8.925
38.893	0	3	response	266	4	236.431551851852	237.5085	229.194196296296	105	0.945	0.315	8.925
38.893	0.5	3	feedback	266	4	236.431551851852	237.5085	229.194196296296	105	0.945	0.315	8.925
44.627	4.02	4	valuation	117	3	242.720503703704	225.239085185185	196.600944444444	34	2.006	11.9	16.32
48.647	0.969999999999999	4	rating	117	3	242.720503703704	225.239085185185	196.600944444444	34	2.006	11.9	16.32
49.617	0	4	response	117	3	242.720503703704	225.239085185185	196.600944444444	34	2.006	11.9	16.32
49.617	0.5	4	feedback	117	3	242.720503703704	225.239085185185	196.600944444444	34	2.006	11.9	16.32
54.769	4.005	5	valuation	517	2	246.386655555556	237.275566666667	210.835722222222	150	40.5	48	0
58.774	0.891999999999996	5	rating	517	2	246.386655555556	237.275566666667	210.835722222222	150	40.5	48	0
59.666	0	5	response	517	2	246.386655555556	237.275566666667	210.835722222222	150	40.5	48	0
59.666	0.5	5	feedback	517	2	246.386655555556	237.275566666667	210.835722222222	150	40.5	48	0
63.012	4.004	6	valuation	214	1	217.923725925926	202.65282962963	198.649962962963	125	1.25	0.625	7.5
67.016	0.811999999999998	6	rating	214	1	217.923725925926	202.65282962963	198.649962962963	125	1.25	0.625	7.5
67.828	0	6	response	214	1	217.923725925926	202.65282962963	198.649962962963	125	1.25	0.625	7.5
67.828	0.5	6	feedback	214	1	217.923725925926	202.65282962963	198.649962962963	125	1.25	0.625	7.5
71.687	4.005	7	valuation	357	2	221.648362962963	206.562155555556	200.983548148148	1080	32.4	162	410.4
75.692	1.048	7	rating	357	2	221.648362962963	206.562155555556	200.983548148148	1080	32.4	162	410.4
76.74	0	7	response	357	2	221.648362962963	206.562155555556	200.983548148148	1080	32.4	162	410.4
76.74	0.5	7	feedback	357	2	221.648362962963	206.562155555556	200.983548148148	1080	32.4	162	410.4
84.543	4.003	8	valuation	541	3	233.812844444444	223.655855555556	214.637522222222	520	109.2	10.4	0
88.546	0.913999999999987	8	rating	541	3	233.812844444444	223.655855555556	214.637522222222	520	109.2	10.4	0
89.46	0	8	response	541	3	233.812844444444	223.655855555556	214.637522222222	520	109.2	10.4	0
89.46	0.5	8	feedback	541	3	233.812844444444	223.655855555556	214.637522222222	520	109.2	10.4	0
94.762	4.017	9	valuation	434	3	237.630485185185	239.415551851852	232.272466666667	208	4.6592	0.7072	6.6768
98.779	1.13600000000001	9	rating	434	3	237.630485185185	239.415551851852	232.272466666667	208	4.6592	0.7072	6.6768
99.915	0	9	response	434	3	237.630485185185	239.415551851852	232.272466666667	208	4.6592	0.7072	6.6768
99.915	0.5	9	feedback	434	3	237.630485185185	239.415551851852	232.272466666667	208	4.6592	0.7072	6.6768
107.169	4.00500000000001	10	valuation	422	3	244.883433333333	225.257766666667	206.887925925926	120	2.88	18.24	30.24
